,1st month Deliverables,,,,,,,
S.No.,Platform,Past Status,Commited,Drafted,Published,Content Created,Platform Category,Primary Content Types
,Website,Already in Place,--,--,--,,Digital Identity,
1,Website- blogs,0,400,30,,https://docs.google.com/document/d/13JSIXHTsARsDDTkbEegV3VN3vpvBaldHqa9XLQjTb1c/edit?usp=drive_link,Professional Writing,"Long-form Articles, Thought Leadership"
2,Website Downloadable,0,15,,,,Informational Content,"Infographics, Product related, knowledge articles"
3,Google Business,Not Available,30,1,,https://docs.google.com/document/d/1rdSnXZIZnxQp9JXLPwFQHdxz_jUj4JF-_VJ_23WSu8k/edit?usp=drive_link,Local Business,"Business Info, Reviews, Local Posts"
4,Linkedin,Active,30,5,,https://docs.google.com/document/d/1TH_uIxnpil-Qfq-olxqvAwymSFLF6Kq3MQZLqLUUaik/edit?usp=drive_link,Professional Network,"Articles, Company Updates, Industry News"
5,YouTube,Not Active,15,1,,https://drive.google.com/drive/folders/12sqQc9RSHFNcFKAI2CoB1aZd8-BYdM8N?usp=drive_link,Long-Form Video,"Long Videos, Tutorials, Vlogs"
6,Tiktok,Not Active,15,,,Link,Short-Form Video,"Short Videos, Challenges, Trends"
7,Instagram,Active,30,1,,https://docs.google.com/document/d/1DvL1LqnQuxcd2DYExyEATZ--7kCA8nMTGVDk_UEVKYM/edit?usp=drive_link,Visual Content,"Images, Stories, Reels, IGTV"
8,PinInterest,Not Active,30,,,https://docs.google.com/document/d/1hI6QYAvW7ZLrVxl6ifJViaXsCP3u3q70BpQyLgcWqOo/edit?usp=drive_link,Visual Content,"Infographics, Product Images, Boards"
9,X (Twitter),Not Active,30,1,,https://docs.google.com/document/d/1MoloWzcC6vcZQ48fRo4u7RfKe2Rs76dvqQFDTY6ay3M/edit?usp=drive_link,Real-Time Social,"Real-time Updates, News, Discussions"
10,Facebook,Not Active,30,,,https://docs.google.com/document/d/1CxUze-vctsXMw9UIWEtWFPAvvcd5XfvlRe9q26gw6Fw/edit?usp=drive_link,Social Community,"Mixed Content, Community Posts, Events"
11,Medium,Not Active,30,,,https://docs.google.com/document/d/1rjiB3V_xxt2tfwg9SVbbMUWSlMbskIqKbJ6BMLH4vKs/edit?usp=drive_link,Professional Writing,"Long-form Articles, Thought Leadership"
12,Tumblr,Not Active,30,,,,Creative Blogging,"Creative Content, GIFs, Art"
13,Threads,Not Active,30,,,,Micro-Blogging,"Short Posts, Real-time Updates"
14,Quora,Not Active,30,,,,Q&A Content,"Expert Answers, Industry Knowledge"
15,Reddit,Not Active,30,,,,Discussion Forum,"Discussion Posts, AMAs, Community Content"
16,Blue Sky,Not Active,30,,,,Social Community,"Mixed Content, Community Posts, Events"
17,Email Marketing,Not Active,6,,,,Direct Marketing,"Newsletters, Campaigns, Automated Sequences"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,811,39,0,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Twitch,Not Active,,,,,Live Streaming,"Live Streams, Gaming Content"
,BeReal,Not Active,,,,,Authentic Visual,"Raw Photos, Authentic Moments"
,Vimeo,Not Active,,,,,Professional Video,"Professional Videos, Documentaries"
,Daily Motion,Not Active,,,,,Video Content,"Video Content, Music Videos"
,Rumble,Not Active,,,,,Video Content,Alternative Video Content
